fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,wine_type,flag_free_sulfur_gt_total,total_acidity,sulfur_ratio,residual_sugar_log,chlorides_log,density_alcohol,sugar_to_alcohol,target_is_high_quality
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,red,False,8.1,0.32352940224913523,1.0647107369924282,0.07325046173959267,9.37932,0.20212763807152787,0
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,red,False,8.68,0.37313432278903996,1.2809338454620642,0.0934903430873389,9.768640000000001,0.26530609537692906,0
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,red,False,8.6,0.277777772633745,1.1939224684724346,0.0880108773227133,9.7706,0.23469385360266798,0
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,red,False,12.04,0.2833333286111112,1.0647107369924282,0.07232066157962612,9.7804,0.1938775312369866,0
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,red,False,8.06,0.3249999918750002,1.0296194171811581,0.07232066157962612,9.37932,0.19148934133092116,0
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,red,False,8.56,0.25423728382648675,0.9555114450274363,0.06672363204290818,9.36616,0.1702127478497077,0
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,red,False,7.95,0.7142856802721105,0.7884573603642702,0.06297479916138844,9.946,0.11999998800000121,1
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,red,False,8.399999999999999,0.49999997222222375,1.0986122886681098,0.07045846364856141,9.4696,0.2105262936288112,1
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,red,False,8.36,0.16666666503267977,1.9600947840472698,0.06859279146561172,10.4769,0.580952325623588,0
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,red,False,7.36,0.23076922721893497,1.0296194171811581,0.0925791812930932,9.162279999999999,0.19565215264650518,0
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,red,False,6.215,0.2711864360815858,0.9555114450274363,0.08525984395082342,9.84357,0.16161614529129847,0
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,red,False,8.7,0.3103448168846615,0.9555114450274363,0.10795714150509228,9.07634,0.17582415650283997,0
