,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,sulphates,alcohol,quality,wine_type
count,6497.0,6497.0,6497.0,6497.0,6497.0,6497.0,6497.0,6497.0,6497.0,6497.0,6497.0,6497.0,6497
unique,,,,,,,,,,,,,2
top,,,,,,,,,,,,,white
freq,,,,,,,,,,,,,4898
mean,7.215307064799139,0.3396659996921656,0.3186332153301524,5.443235339387409,0.05603386178236109,30.525319378174544,115.7445744189626,0.9946966338309989,3.2185008465445586,0.5312682776666154,10.491800831152839,5.818377712790519,
std,1.2964337577998153,0.16463647408467877,0.14531786489759155,4.757803743147418,0.03503360137245907,17.7493997720025,56.521854522630285,0.0029986730037190393,0.16078720210398764,0.14880587361449027,1.192711748870993,0.8732552715311248,
min,3.8,0.08,0.0,0.6,0.009,1.0,6.0,0.98711,2.72,0.22,8.0,3.0,
25%,6.4,0.23,0.25,1.8,0.038,17.0,77.0,0.99234,3.11,0.43,9.5,5.0,
50%,7.0,0.29,0.31,3.0,0.047,29.0,118.0,0.99489,3.21,0.51,10.3,6.0,
75%,7.7,0.4,0.39,8.1,0.065,41.0,156.0,0.99699,3.32,0.6,11.3,6.0,
max,15.9,1.58,1.66,65.8,0.611,289.0,440.0,1.03898,4.01,2.0,14.9,9.0,
