feature,coef
num__residual_sugar_log,0.6952552285484009
num__sugar_to_alcohol,0.6810950985571784
num__ph,0.5378972972233755
num__fixed_acidity,0.4680575482746412
num__sulfur_ratio,0.406360410442665
num__sulphates,0.39418757164183255
num__total_acidity,0.35811344216134366
num__alcohol,0.3286545188206574
num__density_alcohol,0.28869109638809853
num__chlorides,0.1587081493192941
num__citric_acid,-0.002881787754760053
num__total_sulfur_dioxide,-0.07829432684145018
cat__wine_type_red,-0.09642666954907052
cat__wine_type_white,-0.11605691042243965
num__free_sulfur_dioxide,-0.15238044733065564
cat__flag_free_sulfur_gt_total_False,-0.2124835799715085
num__residual_sugar,-0.3473761004255554
num__chlorides_log,-0.38456097697787334
num__volatile_acidity,-0.6699707802599452
num__density,-1.4113874416099939
num__residual_sugar_log,0.6952552285484009
num__sugar_to_alcohol,0.6810950985571784
num__ph,0.5378972972233755
num__fixed_acidity,0.4680575482746412
num__sulfur_ratio,0.406360410442665
num__sulphates,0.39418757164183255
num__total_acidity,0.35811344216134366
num__alcohol,0.3286545188206574
num__density_alcohol,0.28869109638809853
num__chlorides,0.1587081493192941
num__citric_acid,-0.002881787754760053
num__total_sulfur_dioxide,-0.07829432684145018
cat__wine_type_red,-0.09642666954907052
cat__wine_type_white,-0.11605691042243965
num__free_sulfur_dioxide,-0.15238044733065564
cat__flag_free_sulfur_gt_total_False,-0.2124835799715085
num__residual_sugar,-0.3473761004255554
num__chlorides_log,-0.38456097697787334
num__volatile_acidity,-0.6699707802599452
num__density,-1.4113874416099939
